SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,47,001,Tennessee,Anderson County,1,77136,37898,39238,4041,2063,1978,8340,4220,4120,4061,2112,1949,5774,3010,2764,62721,30541,32180,60694,29503,31191,27331,13944,13387,18501,9347,9154,20935,10228,10707,15484,6918,8566,4041,2063,1978,4442,2265,2177,4903,2480,2423,4682,2455,2227,4148,2142,2006,4851,2466,2385,4561,2309,2252,4483,2234,2249,4606,2338,2268,4836,2386,2450,5050,2438,2612,5566,2721,2845,5483,2683,2800,4914,2334,2580,4132,1911,2221,2742,1290,1452,1751,734,1017,1945,649,1296,42.7,41.1,44.2
050,47,001,Tennessee,Anderson County,2,77302,37964,39338,4042,2056,1986,8333,4214,4119,4082,2129,1953,5787,3010,2777,62885,30620,32265,60845,29565,31280,27423,13992,13431,18566,9381,9185,20930,10224,10706,15562,6950,8612,4042,2056,1986,4450,2263,2187,4895,2479,2416,4681,2461,2220,4176,2150,2026,4853,2466,2387,4620,2336,2284,4473,2235,2238,4620,2344,2276,4809,2372,2437,5076,2461,2615,5558,2708,2850,5487,2683,2804,4931,2344,2587,4167,1921,2246,2768,1301,1467,1758,738,1020,1938,646,1292,42.7,41.1,44.2
050,47,001,Tennessee,Anderson County,3,77567,38127,39440,4091,2083,2008,8152,4119,4033,4085,2131,1954,5932,3066,2866,63272,30869,32403,61239,29794,31445,27884,14280,13604,18889,9596,9293,20717,10125,10592,15701,7007,8694,4091,2083,2008,4411,2237,2174,4763,2395,2368,4679,2487,2192,4316,2197,2119,4851,2484,2367,4866,2464,2402,4526,2285,2241,4646,2363,2283,4612,2276,2336,5142,2519,2623,5478,2662,2816,5485,2668,2817,4946,2348,2598,4345,1988,2357,2826,1333,1493,1735,722,1013,1849,616,1233,42.5,40.9,44.1
050,47,001,Tennessee,Anderson County,4,78913,38913,40000,4135,2096,2039,8226,4195,4031,4175,2173,2002,6082,3217,2865,64444,31547,32897,62377,30449,31928,28764,14827,13937,19555,9974,9581,20758,10111,10647,15982,7147,8835,4135,2096,2039,4519,2329,2190,4755,2403,2352,4657,2484,2173,4552,2369,2183,4979,2560,2419,5151,2622,2529,4717,2364,2353,4708,2428,2280,4690,2305,2385,5186,2535,2651,5391,2599,2792,5491,2672,2819,5028,2399,2629,4286,1963,2323,3120,1445,1675,1750,738,1012,1798,602,1196,42.1,40.5,43.9
050,47,003,Tennessee,Bedford County,1,50239,25148,25091,3258,1652,1606,6374,3240,3134,2973,1528,1445,4409,2382,2027,39101,19509,19592,37634,18728,18906,19634,10213,9421,13012,6676,6336,12720,6345,6375,7493,3325,4168,3258,1652,1606,3334,1696,1638,3800,1917,1883,3487,1879,1608,3135,1658,1477,3496,1815,1681,3278,1711,1567,3161,1573,1588,3077,1577,1500,3308,1641,1667,3173,1610,1563,3338,1639,1699,2901,1455,1446,2410,1124,1286,2144,944,1200,1442,658,784,893,393,500,604,206,398,37.2,35.9,38.4
050,47,003,Tennessee,Bedford County,2,50381,25218,25163,3270,1651,1619,6361,3238,3123,2982,1528,1454,4423,2394,2029,39232,19578,19654,37768,18801,18967,19682,10233,9449,13045,6688,6357,12767,6364,6403,7533,3355,4178,3270,1651,1619,3335,1697,1638,3794,1918,1876,3479,1866,1613,3158,1679,1479,3478,1806,1672,3302,1721,1581,3161,1571,1590,3104,1590,1514,3275,1624,1651,3208,1625,1583,3368,1657,1711,2916,1458,1458,2417,1137,1280,2158,953,1205,1449,658,791,898,393,505,611,214,397,37.2,35.9,38.4
050,47,003,Tennessee,Bedford County,3,51157,25569,25588,3350,1689,1661,6328,3213,3115,3020,1541,1479,4548,2437,2111,39940,19897,20043,38459,19126,19333,20130,10420,9710,13331,6837,6494,12923,6422,6501,7657,3430,4227,3350,1689,1661,3387,1722,1665,3710,1886,1824,3501,1845,1656,3298,1738,1560,3462,1825,1637,3466,1776,1690,3204,1591,1613,3199,1645,1554,3174,1575,1599,3335,1691,1644,3385,1664,1721,3029,1492,1537,2456,1169,1287,2209,980,1229,1455,662,793,920,393,527,617,226,391,37.2,36.0,38.4
050,47,003,Tennessee,Bedford County,4,51950,25952,25998,3398,1706,1692,6285,3177,3108,3135,1573,1562,4605,2499,2106,40685,20264,20421,39132,19496,19636,20597,10668,9929,13657,7006,6651,12963,6444,6519,7907,3547,4360,3398,1706,1692,3449,1745,1704,3636,1842,1794,3538,1829,1709,3402,1833,1569,3510,1850,1660,3645,1870,1775,3196,1587,1609,3306,1699,1607,3132,1575,1557,3365,1703,1662,3335,1635,1700,3131,1531,1600,2545,1220,1325,2173,976,1197,1576,707,869,963,408,555,650,236,414,37.2,36.0,38.4
050,47,005,Tennessee,Benton County,1,15863,7866,7997,797,418,379,1640,858,782,694,339,355,1087,562,525,13079,6419,6660,12732,6251,6481,4904,2496,2408,3294,1675,1619,4560,2215,2345,3791,1799,1992,797,418,379,870,462,408,941,476,465,828,415,413,782,406,376,792,390,402,810,426,384,804,398,406,888,461,427,984,507,477,1112,539,573,1216,588,628,1248,581,667,1148,579,569,1120,555,565,686,337,349,457,202,255,380,126,254,47.3,45.9,48.6
050,47,005,Tennessee,Benton County,2,15850,7869,7981,785,411,374,1633,857,776,696,342,354,1084,562,522,13082,6428,6654,12736,6259,6477,4880,2484,2396,3274,1664,1610,4565,2225,2340,3813,1808,2005,785,411,374,867,463,404,940,478,462,821,410,411,785,410,375,790,391,399,809,424,385,805,401,404,870,448,422,992,514,478,1111,540,571,1219,590,629,1243,581,662,1165,587,578,1110,547,563,694,341,353,456,202,254,388,131,257,47.4,46.0,48.8
